prec,ID,Assault,BreakingnEntering,Robbery,Theft,yymm
.015000001,3,349,295,76,764,201509
.42666668,4,46,42,17,129,201509
.24666667,2,44,18,6,75,201509
.43666667,1,0,0,0,0,201509
.053333335,21,0,0,0,0,201509
.46833333,,6,7,0,10,201509
.25999999,6,4,6,0,22,201509
.073333338,10,8,3,0,28,201509
.40833333,11,73,15,35,172,201509
.51166666,22,22,35,6,52,201509
.12166666,23,46,32,4,146,201509
.38166666,24,9,4,0,17,201509
.34999999,19,4,4,1,11,201509
.86451614,9,242,65,10,180,201510
.37258065,,50,22,4,61,201510
.91129035,5,10,16,2,71,201510
.51290321,,67,77,20,305,201510
.533871,16,327,97,40,563,201510
.30000001,13,77,12,5,47,201510
.56612903,14,99,60,24,220,201510
.33387098,7,15,2,1,57,201510
.074193552,3,359,205,55,825,201510
.45161292,4,56,20,5,119,201510
.15967742,2,40,15,12,71,201510
.34516129,1,0,0,0,0,201510
.27419356,21,0,0,0,0,201510
.7532258,,7,6,1,13,201510
.66451615,6,8,0,0,32,201510
.21774194,10,3,3,0,15,201510
.51935482,11,83,15,31,158,201510
.55322582,22,18,31,8,56,201510
.25806451,23,44,38,10,151,201510
.22580646,24,16,2,0,19,201510
.64032257,19,21,2,1,13,201510
.27419356,8,0,0,0,0,201510
.57166666,9,224,58,11,175,201511
.24000001,,41,16,2,56,201511
.64166665,5,19,9,1,49,201511
.55833334,,56,61,27,299,201511
.405,16,317,89,58,546,201511
.45000002,13,57,7,1,41,201511
.53333336,14,115,35,17,234,201511
.27333334,7,12,8,0,47,201511
.039999999,3,188,99,35,366,201511
.54000002,4,26,13,8,63,201511
.090000004,2,51,20,8,64,201511
.28666666,1,0,0,0,0,201511
.2,21,0,0,0,0,201511
.54333335,,4,1,0,12,201511
.45833334,6,10,1,0,15,201511
.27333334,10,3,1,0,4,201511
.37666667,11,81,19,27,161,201511
.27166668,22,17,21,8,53,201511
.68833333,23,50,37,5,134,201511
.45500001,24,5,5,0,19,201511
.85833335,19,6,3,0,13,201511
.75645161,9,226,73,14,199,201512
.28870967,,16,6,0,21,201512
.96612906,5,20,7,1,49,201512
.54516131,,47,61,17,277,201512
.7854839,16,295,92,28,590,201512
.80806452,13,56,9,5,58,201512
.77903223,14,88,29,12,215,201512
.62580645,7,7,6,2,49,201512
.077419356,3,256,192,54,628,201512
.81290323,4,32,27,13,90,201512
.093548387,2,29,36,12,53,201512
.63064516,1,0,0,0,0,201512
.92741936,,8,2,0,12,201512
.966129,6,7,2,0,23,201512
.51451612,10,3,1,0,7,201512
.74193549,11,75,12,34,152,201512
.67903227,22,13,44,14,54,201512
.71774191,23,47,25,10,161,201512
.31774193,24,7,2,1,23,201512
.75,19,10,5,0,12,201512
.75,8,0,0,0,0,201512
