date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,3,-5,0.0,8.7,2,72,03:27 PM,04:56 AM,08:29 AM,05:56 PM,-15,-9,-4,-9,22,6,41,0.0,1025,-4,10,241,11,21701
2015-01-01 12:00:00,3,-5,0.0,8.7,2,72,03:27 PM,04:56 AM,08:29 AM,05:56 PM,-14,-2,3,-2,18,13,27,0.0,1020,3,10,214,14,21701
2015-01-02 00:00:00,5,-2,0.0,8.7,2,80,04:14 PM,05:55 AM,08:29 AM,05:57 PM,-8,-6,-2,-6,18,7,62,0.0,1021,-2,10,221,9,21701
2015-01-02 12:00:00,5,-2,0.0,8.7,2,80,04:14 PM,05:55 AM,08:29 AM,05:57 PM,-5,2,5,2,10,8,49,0.0,1026,5,10,269,9,21701
2015-01-03 00:00:00,3,-1,0.0,3.5,2,87,05:04 PM,06:50 AM,08:30 AM,05:58 PM,-7,-4,-1,-4,13,5,62,0.0,1031,-1,10,27,6,21701
2015-01-03 12:00:00,3,-1,0.0,3.5,2,87,05:04 PM,06:50 AM,08:30 AM,05:58 PM,1,-1,3,-1,10,100,83,1.0,1029,3,9,79,6,21701
2015-01-04 00:00:00,12,3,0.0,5.2,2,94,05:57 PM,07:40 AM,08:30 AM,05:59 PM,2,-1,3,-1,10,91,98,0.0,1018,3,10,214,5,21701
2015-01-04 12:00:00,12,3,0.0,5.2,2,94,05:57 PM,07:40 AM,08:30 AM,05:59 PM,9,8,10,8,15,60,91,0.0,1010,10,10,172,8,21701
2015-01-05 00:00:00,-0,-5,0.0,9.7,2,100,06:52 PM,08:25 AM,08:30 AM,06:00 PM,-2,-5,1,-5,53,0,79,0.0,1017,1,10,287,29,21701
2015-01-05 12:00:00,-0,-5,0.0,9.7,2,100,06:52 PM,08:25 AM,08:30 AM,06:00 PM,-12,-8,-1,-8,35,0,42,0.0,1028,-1,10,285,30,21701
2015-01-06 00:00:00,-2,-7,5.4,6.5,2,100,07:48 PM,09:06 AM,08:30 AM,06:01 PM,-19,-8,-5,-8,10,53,31,0.0,1031,-5,10,319,8,21701
2015-01-06 12:00:00,-2,-7,5.4,6.5,2,100,07:48 PM,09:06 AM,08:30 AM,06:01 PM,-6,-7,-2,-7,7,100,79,2.3,1021,-2,2,225,6,21701
2015-01-07 00:00:00,-7,-13,0.0,9.7,2,84,08:44 PM,09:43 AM,08:30 AM,06:02 PM,-9,-13,-7,-13,9,61,86,0.0,1019,-7,10,221,5,21701
2015-01-07 12:00:00,-7,-13,0.0,9.7,2,84,08:44 PM,09:43 AM,08:30 AM,06:02 PM,-16,-16,-7,-16,36,92,49,0.0,1021,-7,10,293,28,21701
2015-01-08 00:00:00,-9,-16,0.0,9.7,2,77,09:40 PM,10:15 AM,08:29 AM,06:03 PM,-18,-25,-15,-25,27,12,78,0.0,1032,-15,10,295,16,21701
2015-01-08 12:00:00,-9,-16,0.0,9.7,2,77,09:40 PM,10:15 AM,08:29 AM,06:03 PM,-17,-18,-10,-18,16,13,58,0.0,1032,-10,10,263,13,21701
2015-01-09 00:00:00,-1,-10,0.0,9.8,1,69,10:35 PM,10:46 AM,08:29 AM,06:04 PM,-16,-16,-8,-16,19,71,53,0.0,1021,-8,10,179,12,21701
2015-01-09 12:00:00,-1,-10,0.0,9.8,1,69,10:35 PM,10:46 AM,08:29 AM,06:04 PM,-9,-8,-1,-8,27,39,55,0.0,1020,-1,10,272,21,21701
2015-01-10 00:00:00,-6,-15,0.0,9.8,2,62,11:31 PM,11:16 AM,08:29 AM,06:05 PM,-14,-20,-12,-20,23,5,83,0.0,1030,-12,10,294,12,21701
2015-01-10 12:00:00,-6,-15,0.0,9.8,2,62,11:31 PM,11:16 AM,08:29 AM,06:05 PM,-17,-15,-9,-15,14,0,50,0.0,1036,-9,10,275,12,21701
2015-01-11 00:00:00,-1,-10,0.0,9.8,2,55,No moonrise,11:45 AM,08:29 AM,06:06 PM,-16,-14,-10,-14,13,23,62,0.0,1036,-10,10,194,6,21701
2015-01-11 12:00:00,-1,-10,0.0,9.8,2,55,No moonrise,11:45 AM,08:29 AM,06:06 PM,-9,-6,-1,-6,11,32,57,0.0,1035,-1,10,162,9,21701
2015-01-12 00:00:00,3,-1,0.0,4.9,1,48,12:26 AM,12:15 PM,08:29 AM,06:07 PM,-4,-4,-1,-4,12,97,79,0.8,1032,-1,6,160,7,21701
2015-01-12 12:00:00,3,-1,0.0,4.9,1,48,12:26 AM,12:15 PM,08:29 AM,06:07 PM,2,0,3,0,9,100,99,2.6,1023,3,7,99,6,21701
2015-01-13 00:00:00,-4,-8,0.0,9.8,1,40,01:23 AM,12:46 PM,08:28 AM,06:08 PM,-4,-8,-2,-8,15,39,89,0.3,1028,-2,3,343,8,21701
2015-01-13 12:00:00,-4,-8,0.0,9.8,1,40,01:23 AM,12:46 PM,08:28 AM,06:08 PM,-10,-11,-5,-11,14,35,66,0.0,1036,-5,10,44,12,21701
2015-01-14 00:00:00,-1,-6,0.5,4.9,2,33,02:20 AM,01:21 PM,08:28 AM,06:09 PM,-11,-11,-6,-11,17,46,64,0.0,1034,-6,10,59,12,21701
2015-01-14 12:00:00,-1,-6,0.5,4.9,2,33,02:20 AM,01:21 PM,08:28 AM,06:09 PM,-6,-3,-1,-3,1,100,67,0.1,1027,-1,5,137,1,21701
2015-01-15 00:00:00,3,-5,0.0,9.8,2,26,03:20 AM,02:00 PM,08:28 AM,06:10 PM,-6,-7,-4,-7,6,30,90,0.0,1023,-4,10,325,3,21701
2015-01-15 12:00:00,3,-5,0.0,9.8,2,26,03:20 AM,02:00 PM,08:28 AM,06:10 PM,-9,0,3,0,7,10,42,0.0,1020,3,10,256,6,21701
2015-01-16 00:00:00,4,-4,0.0,6.6,2,19,04:20 AM,02:45 PM,08:27 AM,06:11 PM,-6,-6,-3,-6,6,4,81,0.0,1016,-3,10,257,3,21701
2015-01-16 12:00:00,4,-4,0.0,6.6,2,19,04:20 AM,02:45 PM,08:27 AM,06:11 PM,-4,-0,4,-0,23,69,54,0.0,1017,4,10,294,20,21701
2015-01-17 00:00:00,1,-4,0.0,8.3,2,11,05:21 AM,03:37 PM,08:27 AM,06:12 PM,-8,-6,-3,-6,2,2,70,0.0,1027,-3,10,47,2,21701
2015-01-17 12:00:00,1,-4,0.0,8.3,2,11,05:21 AM,03:37 PM,08:27 AM,06:12 PM,-9,-4,1,-4,14,4,48,0.0,1026,1,10,168,12,21701
2015-01-18 00:00:00,4,-3,0.0,8.3,1,4,06:20 AM,04:35 PM,08:26 AM,06:13 PM,-4,-8,-3,-8,12,52,96,0.0,1020,-3,2,155,7,21701
2015-01-18 12:00:00,4,-3,0.0,8.3,1,4,06:20 AM,04:35 PM,08:26 AM,06:13 PM,3,3,4,3,4,100,95,0.0,1010,4,2,158,3,21701
2015-01-19 00:00:00,5,-2,0.0,8.3,1,0,07:16 AM,05:40 PM,08:26 AM,06:14 PM,-2,-6,-2,-6,17,22,96,0.0,1012,-2,2,259,8,21701
2015-01-19 12:00:00,5,-2,0.0,8.3,1,0,07:16 AM,05:40 PM,08:26 AM,06:14 PM,-1,1,5,1,13,74,67,0.0,1015,5,10,279,10,21701
2015-01-20 00:00:00,8,-2,0.0,9.9,2,0,08:07 AM,06:50 PM,08:25 AM,06:15 PM,-3,-2,-2,-2,5,29,93,0.0,1015,-2,10,165,3,21701
2015-01-20 12:00:00,8,-2,0.0,9.9,2,0,08:07 AM,06:50 PM,08:25 AM,06:15 PM,1,8,8,8,5,36,63,0.0,1013,8,10,192,4,21701
