date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,5,-1,0.0,8.7,2,72,03:22 PM,04:49 AM,08:22 AM,05:52 PM,-9,-6,-1,-6,21,7,56,0.0,1024,-1,10,254,11,21639
2015-01-01 12:00:00,5,-1,0.0,8.7,2,72,03:22 PM,04:49 AM,08:22 AM,05:52 PM,-10,0,5,0,24,7,32,0.0,1021,5,10,228,18,21639
2015-01-02 00:00:00,7,1,0.0,8.7,2,80,04:08 PM,05:48 AM,08:22 AM,05:53 PM,-4,-4,1,-4,17,18,72,0.0,1021,1,10,246,8,21639
2015-01-02 12:00:00,7,1,0.0,8.7,2,80,04:08 PM,05:48 AM,08:22 AM,05:53 PM,-3,4,7,4,17,6,48,0.0,1026,7,10,291,13,21639
2015-01-03 00:00:00,9,1,0.0,3.5,3,87,04:59 PM,06:42 AM,08:22 AM,05:53 PM,-3,-2,2,-2,10,15,69,0.0,1031,2,10,80,5,21639
2015-01-03 12:00:00,9,1,0.0,3.5,3,87,04:59 PM,06:42 AM,08:22 AM,05:53 PM,4,6,9,6,9,100,73,0.0,1030,9,10,98,6,21639
2015-01-04 00:00:00,17,7,0.0,3.5,3,94,05:52 PM,07:33 AM,08:22 AM,05:54 PM,7,4,7,4,11,85,97,0.0,1019,7,10,248,6,21639
2015-01-04 12:00:00,17,7,0.0,3.5,3,94,05:52 PM,07:33 AM,08:22 AM,05:54 PM,14,16,16,16,25,76,88,1.0,1012,16,10,201,14,21639
2015-01-05 00:00:00,4,-2,0.0,7.0,1,100,06:46 PM,08:18 AM,08:22 AM,05:55 PM,1,2,6,2,42,17,72,1.9,1017,6,9,293,24,21639
2015-01-05 12:00:00,4,-2,0.0,7.0,1,100,06:46 PM,08:18 AM,08:22 AM,05:55 PM,-7,-5,2,-5,41,12,50,0.1,1026,2,9,295,33,21639
2015-01-06 00:00:00,-1,-5,4.3,3.5,2,100,07:42 PM,08:59 AM,08:22 AM,05:56 PM,-15,-8,-3,-8,17,45,37,0.0,1031,-3,10,342,12,21639
2015-01-06 12:00:00,-1,-5,4.3,3.5,2,100,07:42 PM,08:59 AM,08:22 AM,05:56 PM,-5,-5,-1,-5,7,100,74,2.4,1021,-1,2,147,6,21639
2015-01-07 00:00:00,-4,-10,0.0,8.7,2,84,08:38 PM,09:36 AM,08:22 AM,05:57 PM,-7,-10,-5,-10,17,22,80,0.0,1019,-5,10,278,9,21639
2015-01-07 12:00:00,-4,-10,0.0,8.7,2,84,08:38 PM,09:36 AM,08:22 AM,05:57 PM,-14,-15,-5,-15,46,21,53,0.0,1019,-5,10,308,36,21639
2015-01-08 00:00:00,-8,-12,0.0,8.7,1,77,09:34 PM,10:09 AM,08:22 AM,05:58 PM,-16,-22,-12,-22,39,6,73,0.0,1030,-12,7,315,26,21639
2015-01-08 12:00:00,-8,-12,0.0,8.7,1,77,09:34 PM,10:09 AM,08:22 AM,05:58 PM,-15,-17,-9,-17,19,4,62,0.0,1032,-9,10,288,16,21639
2015-01-09 00:00:00,1,-5,0.1,5.2,2,69,10:29 PM,10:40 AM,08:22 AM,05:59 PM,-13,-13,-5,-13,35,46,53,0.0,1023,-5,10,196,20,21639
2015-01-09 12:00:00,1,-5,0.1,5.2,2,69,10:29 PM,10:40 AM,08:22 AM,05:59 PM,-7,-5,1,-5,21,23,55,0.0,1019,1,10,279,15,21639
2015-01-10 00:00:00,-7,-11,0.0,9.8,2,62,11:24 PM,11:10 AM,08:22 AM,06:00 PM,-10,-15,-7,-15,29,0,78,0.0,1028,-7,10,306,16,21639
2015-01-10 12:00:00,-7,-11,0.0,9.8,2,62,11:24 PM,11:10 AM,08:22 AM,06:00 PM,-14,-15,-8,-15,16,0,61,0.0,1036,-8,10,310,13,21639
2015-01-11 00:00:00,3,-6,0.0,9.8,2,55,No moonrise,11:39 AM,08:22 AM,06:01 PM,-14,-10,-6,-10,13,12,53,0.0,1037,-6,10,160,6,21639
2015-01-11 12:00:00,3,-6,0.0,9.8,2,55,No moonrise,11:39 AM,08:22 AM,06:01 PM,-8,-1,3,-1,17,52,43,0.0,1037,3,10,177,13,21639
2015-01-12 00:00:00,4,1,0.0,4.9,2,48,12:19 AM,12:09 PM,08:21 AM,06:02 PM,-3,-3,1,-3,11,52,73,0.0,1033,1,10,177,5,21639
