date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,4,-3,0.0,8.7,2,72,03:23 PM,04:52 AM,08:25 AM,05:52 PM,-13,-8,-2,-8,24,5,42,0.0,1024,-2,10,259,13,21040
2015-01-01 12:00:00,4,-3,0.0,8.7,2,72,03:23 PM,04:52 AM,08:25 AM,05:52 PM,-13,-2,4,-2,23,0,30,0.0,1020,4,10,228,18,21040
2015-01-02 00:00:00,6,-0,0.0,8.7,2,80,04:09 PM,05:51 AM,08:25 AM,05:53 PM,-6,-5,-0,-5,20,20,63,0.0,1021,-0,10,241,10,21040
2015-01-02 12:00:00,6,-0,0.0,8.7,2,80,04:09 PM,05:51 AM,08:25 AM,05:53 PM,-4,2,6,2,19,6,49,0.0,1026,6,10,282,14,21040
2015-01-03 00:00:00,5,-1,0.0,5.2,2,87,05:00 PM,06:46 AM,08:25 AM,05:54 PM,-6,-3,0,-3,11,2,64,0.0,1031,0,10,30,5,21040
2015-01-03 12:00:00,5,-1,0.0,5.2,2,87,05:00 PM,06:46 AM,08:25 AM,05:54 PM,2,2,5,2,12,100,78,0.2,1030,5,2,20,8,21040
2015-01-04 00:00:00,14,5,0.0,5.2,3,94,05:53 PM,07:36 AM,08:25 AM,05:55 PM,5,2,6,2,12,100,98,0.0,1019,6,10,251,7,21040
2015-01-04 12:00:00,14,5,0.0,5.2,3,94,05:53 PM,07:36 AM,08:25 AM,05:55 PM,11,10,12,10,19,60,93,1.0,1010,12,9,197,11,21040
2015-01-05 00:00:00,2,-4,0.0,7.0,2,100,06:47 PM,08:21 AM,08:25 AM,05:56 PM,-0,-1,4,-1,48,0,76,0.0,1016,4,10,278,27,21040
2015-01-05 12:00:00,2,-4,0.0,7.0,2,100,06:47 PM,08:21 AM,08:25 AM,05:56 PM,-10,-7,0,-7,39,0,45,0.1,1026,0,9,284,32,21040
2015-01-06 00:00:00,-4,-7,4.7,3.5,2,100,07:44 PM,09:02 AM,08:25 AM,05:57 PM,-18,-9,-4,-9,15,49,34,0.0,1031,-4,10,327,11,21040
2015-01-06 12:00:00,-4,-7,4.7,3.5,2,100,07:44 PM,09:02 AM,08:25 AM,05:57 PM,-6,-8,-4,-8,4,100,84,2.5,1021,-4,2,186,4,21040
2015-01-07 00:00:00,-6,-12,0.0,8.7,2,84,08:39 PM,09:38 AM,08:25 AM,05:58 PM,-9,-13,-7,-13,13,35,86,0.0,1019,-7,10,270,7,21040
2015-01-07 12:00:00,-6,-12,0.0,8.7,2,84,08:39 PM,09:38 AM,08:25 AM,05:58 PM,-14,-16,-6,-16,42,46,55,0.0,1019,-6,10,294,32,21040
2015-01-08 00:00:00,-10,-14,0.0,8.7,2,77,09:36 PM,10:11 AM,08:25 AM,05:59 PM,-16,-23,-14,-23,33,12,83,0.0,1030,-14,10,302,19,21040
2015-01-08 12:00:00,-10,-14,0.0,8.7,2,77,09:36 PM,10:11 AM,08:25 AM,05:59 PM,-15,-19,-10,-19,19,9,69,0.0,1032,-10,10,278,15,21040
2015-01-09 00:00:00,-0,-7,0.0,9.8,2,69,10:30 PM,10:42 AM,08:25 AM,06:00 PM,-13,-15,-7,-15,33,46,60,0.0,1022,-7,10,187,18,21040
2015-01-09 12:00:00,-0,-7,0.0,9.8,2,69,10:30 PM,10:42 AM,08:25 AM,06:00 PM,-7,-7,-0,-7,28,53,61,0.0,1019,-0,10,266,19,21040
