date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,5,-1,0.0,8.7,2,72,03:24 PM,04:50 AM,08:23 AM,05:53 PM,-10,-6,-1,-6,19,6,49,0.0,1025,-1,10,265,10,21638
2015-01-01 12:00:00,5,-1,0.0,8.7,2,72,03:24 PM,04:50 AM,08:23 AM,05:53 PM,-11,0,5,0,22,13,32,0.0,1021,5,10,227,17,21638
2015-01-02 00:00:00,7,1,0.0,8.7,2,80,04:10 PM,05:49 AM,08:23 AM,05:54 PM,-4,-4,1,-4,16,20,70,0.0,1021,1,10,244,8,21638
2015-01-02 12:00:00,7,1,0.0,8.7,2,80,04:10 PM,05:49 AM,08:23 AM,05:54 PM,-3,4,7,4,15,7,48,0.0,1026,7,10,285,12,21638
2015-01-03 00:00:00,8,1,0.0,5.2,3,87,05:00 PM,06:44 AM,08:24 AM,05:55 PM,-4,-2,2,-2,11,3,67,0.0,1031,2,10,72,5,21638
2015-01-03 12:00:00,8,1,0.0,5.2,3,87,05:00 PM,06:44 AM,08:24 AM,05:55 PM,4,5,8,5,7,100,73,0.0,1030,8,10,80,5,21638
2015-01-04 00:00:00,16,7,0.0,3.5,3,94,05:53 PM,07:35 AM,08:24 AM,05:56 PM,6,3,7,3,10,85,97,0.0,1019,7,10,250,6,21638
2015-01-04 12:00:00,16,7,0.0,3.5,3,94,05:53 PM,07:35 AM,08:24 AM,05:56 PM,13,13,15,13,26,100,91,0.9,1011,15,9,194,14,21638
2015-01-05 00:00:00,4,-2,0.0,7.0,1,100,06:48 PM,08:19 AM,08:24 AM,05:57 PM,1,1,6,1,46,6,71,1.5,1017,6,9,290,26,21638
2015-01-05 12:00:00,4,-2,0.0,7.0,1,100,06:48 PM,08:19 AM,08:24 AM,05:57 PM,-8,-5,2,-5,40,5,48,0.1,1027,2,9,292,32,21638
2015-01-06 00:00:00,-0,-5,4.4,3.5,2,100,07:44 PM,09:00 AM,08:24 AM,05:58 PM,-16,-8,-3,-8,16,45,35,0.0,1031,-3,10,342,12,21638
2015-01-06 12:00:00,-0,-5,4.4,3.5,2,100,07:44 PM,09:00 AM,08:24 AM,05:58 PM,-5,-5,-0,-5,7,82,72,2.3,1021,-0,2,169,5,21638
2015-01-07 00:00:00,-5,-10,0.0,8.7,2,84,08:40 PM,09:37 AM,08:24 AM,05:59 PM,-8,-10,-5,-10,17,24,81,0.0,1019,-5,10,289,9,21638
2015-01-07 12:00:00,-5,-10,0.0,8.7,2,84,08:40 PM,09:37 AM,08:24 AM,05:59 PM,-13,-14,-5,-14,44,40,55,0.0,1020,-5,10,306,35,21638
2015-01-08 00:00:00,-8,-12,0.0,8.7,2,77,09:36 PM,10:10 AM,08:23 AM,05:59 PM,-15,-22,-12,-22,36,26,78,0.0,1031,-12,10,310,24,21638
2015-01-08 12:00:00,-8,-12,0.0,8.7,2,77,09:36 PM,10:10 AM,08:23 AM,05:59 PM,-15,-17,-9,-17,19,4,64,0.0,1032,-9,10,283,15,21638
2015-01-09 00:00:00,1,-5,0.1,8.2,2,69,10:30 PM,10:41 AM,08:23 AM,06:00 PM,-14,-13,-5,-13,36,45,51,0.0,1023,-5,10,196,21,21638
2015-01-09 12:00:00,1,-5,0.1,8.2,2,69,10:30 PM,10:41 AM,08:23 AM,06:00 PM,-7,-5,1,-5,20,20,55,0.1,1020,1,2,276,14,21638
2015-01-10 00:00:00,-6,-11,0.0,9.8,2,62,11:26 PM,11:11 AM,08:23 AM,06:01 PM,-11,-15,-7,-15,31,0,75,0.0,1028,-7,10,308,18,21638
2015-01-10 12:00:00,-6,-11,0.0,9.8,2,62,11:26 PM,11:11 AM,08:23 AM,06:01 PM,-14,-14,-7,-14,15,0,58,0.0,1036,-7,10,308,12,21638
2015-01-11 00:00:00,3,-6,0.0,9.8,2,55,No moonrise,11:41 AM,08:23 AM,06:02 PM,-12,-10,-6,-10,17,13,59,0.0,1037,-6,10,164,8,21638
2015-01-11 12:00:00,3,-6,0.0,9.8,2,55,No moonrise,11:41 AM,08:23 AM,06:02 PM,-7,-2,3,-2,16,41,50,0.0,1036,3,10,173,12,21638
2015-01-12 00:00:00,3,1,0.0,4.9,2,48,12:21 AM,12:10 PM,08:23 AM,06:03 PM,-4,-3,1,-3,13,56,71,0.0,1033,1,10,171,6,21638
2015-01-12 12:00:00,3,1,0.0,4.9,2,48,12:21 AM,12:10 PM,08:23 AM,06:03 PM,3,-0,3,-0,5,100,98,6.0,1023,3,7,357,3,21638
2015-01-13 00:00:00,-2,-4,0.0,9.8,1,40,01:17 AM,12:42 PM,08:22 AM,06:04 PM,-1,-4,1,-4,20,68,87,0.7,1026,1,9,5,12,21638
2015-01-13 12:00:00,-2,-4,0.0,9.8,1,40,01:17 AM,12:42 PM,08:22 AM,06:04 PM,-9,-9,-3,-9,20,40,61,0.0,1035,-3,10,9,16,21638
2015-01-14 00:00:00,1,-4,1.4,4.9,2,33,02:15 AM,01:17 PM,08:22 AM,06:05 PM,-9,-10,-4,-10,23,23,69,0.0,1033,-4,10,37,16,21638
2015-01-14 12:00:00,1,-4,1.4,4.9,2,33,02:15 AM,01:17 PM,08:22 AM,06:05 PM,-3,-5,1,-5,15,100,76,0.4,1026,1,9,13,12,21638
