date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,4,-3,0.0,8.7,2,72,03:27 PM,04:54 AM,08:27 AM,05:56 PM,-15,-7,-2,-7,16,7,38,0.0,1025,-2,10,263,8,20742
2015-01-01 12:00:00,4,-3,0.0,8.7,2,72,03:27 PM,04:54 AM,08:27 AM,05:56 PM,-13,-1,4,-1,17,32,29,0.0,1021,4,10,224,14,20742
2015-01-02 00:00:00,6,-0,0.0,8.7,2,80,04:13 PM,05:53 AM,08:27 AM,05:57 PM,-6,-4,-0,-4,13,19,67,0.0,1021,-0,10,244,6,20742
2015-01-02 12:00:00,6,-0,0.0,8.7,2,80,04:13 PM,05:53 AM,08:27 AM,05:57 PM,-4,3,6,3,10,9,48,0.0,1026,6,10,271,8,20742
2015-01-03 00:00:00,6,0,0.0,3.5,2,87,05:03 PM,06:47 AM,08:27 AM,05:58 PM,-5,-2,1,-2,10,6,67,0.0,1031,1,10,45,5,20742
2015-01-03 12:00:00,6,0,0.0,3.5,2,87,05:03 PM,06:47 AM,08:27 AM,05:58 PM,2,2,6,2,7,100,80,0.0,1030,6,10,49,5,20742
2015-01-04 00:00:00,15,5,0.0,3.5,3,94,05:56 PM,07:38 AM,08:27 AM,05:59 PM,5,2,5,2,6,91,98,0.6,1019,5,2,241,4,20742
2015-01-04 12:00:00,15,5,0.0,3.5,3,94,05:56 PM,07:38 AM,08:27 AM,05:59 PM,12,11,13,11,13,86,95,0.0,1010,13,10,198,7,20742
2015-01-05 00:00:00,2,-4,0.0,9.7,2,100,06:51 PM,08:23 AM,08:27 AM,06:00 PM,0,-1,4,-1,43,0,77,0.5,1018,4,10,289,24,20742
2015-01-05 12:00:00,2,-4,0.0,9.7,2,100,06:51 PM,08:23 AM,08:27 AM,06:00 PM,-10,-6,0,-6,35,0,44,0.1,1028,0,9,288,29,20742
2015-01-06 00:00:00,-0,-6,6.2,6.5,2,100,07:47 PM,09:04 AM,08:27 AM,06:00 PM,-18,-7,-3,-7,14,61,31,0.0,1031,-3,10,336,10,20742
2015-01-06 12:00:00,-0,-6,6.2,6.5,2,100,07:47 PM,09:04 AM,08:27 AM,06:00 PM,-5,-5,-0,-5,10,69,70,2.6,1020,-0,5,202,8,20742
2015-01-07 00:00:00,-6,-12,0.0,9.7,2,84,08:43 PM,09:40 AM,08:27 AM,06:01 PM,-8,-11,-6,-11,9,35,87,0.0,1020,-6,10,278,5,20742
2015-01-07 12:00:00,-6,-12,0.0,9.7,2,84,08:43 PM,09:40 AM,08:27 AM,06:01 PM,-14,-15,-6,-15,34,48,54,0.1,1021,-6,0,297,27,20742
2015-01-08 00:00:00,-8,-15,0.0,9.8,2,77,09:39 PM,10:13 AM,08:27 AM,06:02 PM,-17,-24,-15,-24,27,6,81,0.0,1032,-15,10,298,16,20742
2015-01-08 12:00:00,-8,-15,0.0,9.8,2,77,09:39 PM,10:13 AM,08:27 AM,06:02 PM,-15,-16,-10,-16,16,6,62,0.0,1033,-10,10,271,13,20742
2015-01-09 00:00:00,0,-7,0.0,9.8,2,69,10:33 PM,10:44 AM,08:27 AM,06:03 PM,-16,-15,-7,-15,27,50,50,0.0,1022,-7,10,189,16,20742
2015-01-09 12:00:00,0,-7,0.0,9.8,2,69,10:33 PM,10:44 AM,08:27 AM,06:03 PM,-7,-6,0,-6,19,52,57,0.0,1020,0,10,275,14,20742
2015-01-10 00:00:00,-3,-12,0.0,9.8,2,62,11:29 PM,11:14 AM,08:26 AM,06:04 PM,-13,-17,-9,-17,26,0,70,0.0,1029,-9,10,310,15,20742
2015-01-10 12:00:00,-3,-12,0.0,9.8,2,62,11:29 PM,11:14 AM,08:26 AM,06:04 PM,-17,-13,-7,-13,15,0,42,0.0,1036,-7,10,293,13,20742
2015-01-11 00:00:00,2,-7,0.0,9.8,2,55,No moonrise,11:44 AM,08:26 AM,06:05 PM,-13,-11,-7,-11,14,15,58,0.0,1037,-7,10,182,7,20742
2015-01-11 12:00:00,2,-7,0.0,9.8,2,55,No moonrise,11:44 AM,08:26 AM,06:05 PM,-9,-3,1,-3,11,33,48,0.0,1036,1,10,170,9,20742
2015-01-12 00:00:00,2,0,0.0,4.9,1,48,12:24 AM,12:13 PM,08:26 AM,06:06 PM,-5,-3,1,-3,12,75,68,0.0,1032,1,10,172,6,20742
