date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,5,-0,0.0,8.7,2,72,03:26 PM,04:50 AM,08:23 AM,05:56 PM,-9,-5,0,-5,22,4,51,0.0,1025,0,10,264,13,20688
2015-01-01 12:00:00,5,-0,0.0,8.7,2,72,03:26 PM,04:50 AM,08:23 AM,05:56 PM,-8,1,5,1,24,33,38,0.0,1022,5,10,246,19,20688
2015-01-02 00:00:00,8,2,0.0,8.7,3,80,04:12 PM,05:49 AM,08:23 AM,05:57 PM,-2,-1,3,-1,23,7,72,0.0,1022,3,10,245,13,20688
2015-01-02 12:00:00,8,2,0.0,8.7,3,80,04:12 PM,05:49 AM,08:23 AM,05:57 PM,-1,6,8,6,6,14,53,0.0,1026,8,10,262,4,20688
2015-01-03 00:00:00,9,4,0.0,3.5,3,87,05:03 PM,06:44 AM,08:23 AM,05:58 PM,-0,2,4,2,13,11,72,0.0,1031,4,10,100,6,20688
2015-01-03 12:00:00,9,4,0.0,3.5,3,87,05:03 PM,06:44 AM,08:23 AM,05:58 PM,6,5,9,5,8,100,83,0.6,1030,9,2,89,6,20688
2015-01-04 00:00:00,17,8,0.0,7.0,3,94,05:56 PM,07:34 AM,08:23 AM,05:59 PM,7,5,8,5,9,86,96,0.0,1020,8,10,238,6,20688
2015-01-04 12:00:00,17,8,0.0,7.0,3,94,05:56 PM,07:34 AM,08:23 AM,05:59 PM,14,17,17,17,45,53,86,0.0,1012,17,10,192,22,20688
2015-01-05 00:00:00,5,-1,0.0,8.7,2,100,06:50 PM,08:19 AM,08:23 AM,05:59 PM,3,3,8,3,44,34,71,0.0,1018,8,10,305,25,20688
2015-01-05 12:00:00,5,-1,0.0,8.7,2,100,06:50 PM,08:19 AM,08:23 AM,05:59 PM,-6,-3,3,-3,38,0,52,0.0,1027,3,10,305,30,20688
2015-01-06 00:00:00,4,-2,1.0,9.8,2,100,07:46 PM,09:00 AM,08:23 AM,06:00 PM,-13,-6,-1,-6,19,28,41,0.0,1031,-1,10,359,14,20688
2015-01-06 12:00:00,4,-2,1.0,9.8,2,100,07:46 PM,09:00 AM,08:23 AM,06:00 PM,-4,0,4,0,7,13,56,0.5,1020,4,5,168,6,20688
2015-01-07 00:00:00,-1,-7,0.0,9.8,2,84,08:42 PM,09:37 AM,08:23 AM,06:01 PM,-7,-7,-2,-7,16,28,68,0.0,1020,-2,10,330,11,20688
