"city","year","isocode","continent","latitude","longitude","city_population","ln_city_population","ln_wpot","post","ln_wpot_post","ln_oworld","ln_tropics","ln_elevation","ln_rugged","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900"
"Amoy",1800,"CHN","Asia",24.4699993133545,118.080001831055,65000,11.082142829895,0,1,0,8.59166717529297,10.3551025390625,6.65629816055298,3.19240617752075,0,0,0,0,0,0,0,0,0,1,0,0
"Amoy",1900,"CHN","Asia",24.4699993133545,118.080001831055,1e+05,11.5129251480103,0,1,0,8.59166717529297,10.3551025390625,6.65629816055298,3.19240617752075,0,0,0,0,0,0,0,0,0,0,0,1
"Amsterdam",1600,"NLD","Europe",52.3699989318848,4.8899998664856,48000,10.778956413269,7.24970054626465,0,0,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,1,0,0,0,0,0
"Amsterdam",1700,"NLD","Europe",52.3699989318848,4.8899998664856,210000,12.2548627853394,7.24970054626465,0,0,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,0,1,0,0,0,0
"Amsterdam",1750,"NLD","Europe",52.3699989318848,4.8899998664856,219000,12.2968273162842,7.24970054626465,1,7.24970054626465,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,0,0,1,0,0,0
"Amsterdam",1800,"NLD","Europe",52.3699989318848,4.8899998664856,195000,12.1807546615601,7.24970054626465,1,7.24970054626465,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,0,0,0,1,0,0
"Amsterdam",1850,"NLD","Europe",52.3699989318848,4.8899998664856,225000,12.3238554000854,7.24970054626465,1,7.24970054626465,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,0,0,0,0,1,0
"Amsterdam",1900,"NLD","Europe",52.3699989318848,4.8899998664856,510000,13.1421661376953,7.24970054626465,1,7.24970054626465,10.0013227462769,0,3.46275520324707,0.274609953165054,0,0,0,0,0,0,0,0,0,0,0,1
"Andijan",1900,"UZB","Asia",40.6500015258789,72.3600006103516,55000,10.9150886535645,0,1,0,9.07040882110596,0,8.07660865783691,3.26791477203369,0,0,0,0,0,0,0,0,0,0,0,1
"Andria",1900,"ITA","Europe",41.2299995422363,16.2900009155273,47000,10.7579030990601,6.97161865234375,1,6.97161865234375,10.0702276229858,10.3551025390625,6.48402452468872,2.85664510726929,0,0,0,0,0,0,0,0,0,0,0,1
