"isocode","country","year","population","city_population","ln_population","city_pop_share","total_land_area","ln_wpot","post","ln_wpot_post","ln_all","ln_nworld","ln_oworld","ln_spot","ln_silagemaize","ln_maize","ln_cassava","cont_africa","cont_asia","cont_europe","cont_oceania","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","ln_rugged","ln_tropical","ln_elevation","ln_disteq","malaria","ln_dist_coast","roman","protestant","attrade","ln_export","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900","wpot_lr_vs_mars","all_lr_vs_mars","ln_wpot_ver2","ln_wpot_ver3","lat","lon"
"CMR","Cameroon",1800,1635424.01790619,0,14.3074131011963,0,46274,3.40119743347168,1,3.40119743347168,10.2443428039551,9.87632179260254,10.0163249969482,9.84971714019775,0,8.40178203582764,9.87632179260254,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.663879990577698,10.6817569732666,6.48004579544067,1.73998868465424,13.033423539575,5.96682500839233,0,0,0,9.6236515045166,0,0,0,0,0,0,0,0,0,1,0,0,93,34232,4.20469284057617,3.66356158256531,5.69727897644043,12.7428951263428
"COG","Congo",1800,295751.452445984,0,12.5972776412964,0,34366,0,1,0,9.49536895751953,8.83010387420654,8.82834720611572,8.47762012481689,0,0,8.83010387420654,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.88509082794189,10.4448518753052,6.05983209609985,-0.184620127081871,12.1530670364427,6.12708139419556,0,0,0,5.63595485687256,0,0,0,0,0,0,0,0,0,1,0,0,0,27517,0,0,-0.831420063972473,15.2455158233643
"CZE","Czech Republic",1800,4862881.18362427,77000,15.397141456604,0.0158342346549034,7833,8.10862350463867,1,8.10862350463867,8.61122989654541,8.10862350463867,8.51779270172119,0,7.97659540176392,5.82304573059082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.123641267418861,0,6.10120058059692,3.90679240226746,0.000274657182136474,6.05652761459351,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4277,4070,8.46400356292725,8.06432151794434,49.7391471862793,15.3344745635986
"DEU","Germany",1800,1.8e+07,534000,16.705883026123,0.0296666659414768,35436,9.56556415557861,1,9.56556415557861,10.0262355804443,9.56556415557861,9.93139457702637,0,9.4956693649292,7.8800482749939,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.515097618103027,0,5.56202745437622,3.93397116661072,0.000133388875862581,5.50809764862061,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18193,20784,9.85681533813477,9.63128471374512,51.1095390319824,10.3923931121826
"DJI","Djibouti",1800,47287.080436945,0,10.7640132904053,0,2299,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.888657569885254,0,6.12202739715576,2.46258735656738,5.11834119099469,3.65104365348816,0,0,0,0.423366546630859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.7351350784302,42.5798072814941
"DNK","Denmark",1800,1e+06,100000,13.8155117034912,0.100000001490116,4408,7.84502458572388,1,7.84502458572388,8.05102252960205,7.84502458572388,7.77863025665283,0,7.57250308990479,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.66855335235596,0,3.40555453300476,4.02511739730835,0,3.00347971916199,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2800,3463,8.04910755157471,7.88042640686035,55.9868927001953,10.0272397994995
"DZA","Algeria",1800,2500000,73000,14.7318019866943,0.0292000006884336,230452,6.07304430007935,1,6.07304430007935,7.58578872680664,6.07304430007935,7.53529691696167,0,6.04973363876343,6.04973363876343,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.673833727836609,0,6.35067796707153,3.33819365501404,0.0127001304683552,6.62436866760254,0,0,0,9.56440734863281,0,0,0,0,0,0,0,0,0,1,0,0,1268,972,7.08422660827637,6.42162227630615,28.1681995391846,2.64738917350769
"EGY","Egypt",1800,3500000,186000,15.0682735443115,0.0531428568065166,98786,0,1,0,2.83321332931519,2.83321332931519,2.83321332931519,0,2.83321332931519,2.83321332931519,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.324253857135773,0,5.69958591461182,3.27946734428406,2.57896006168598,5.7861647605896,0,0,0,5.06308078765869,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.5616226196289,29.7817783355713
"ERI","Eritrea",1800,174910.27712822,0,12.0720338821411,0,12116,0,1,0,5.81711101531982,3.95124363899231,3.85014748573303,0,0,3.95124363899231,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.908784329891205,0,6.65962648391724,2.73210120201111,4.20783577286447,4.65475702285767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,497,2.30258512496948,0,15.3651390075684,38.848072052002
"ESH","Western Sahara",1800,3838.06158788502,0,8.25298309326172,0,26984,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.5925145149231,0,5.60457229614258,3.20574760437012,0,5.00340270996094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.6739368438721,-13.1380424499512
