"isocode","country","year","population","city_population","ln_population","city_pop_share","total_land_area","ln_wpot","post","ln_wpot_post","ln_all","ln_nworld","ln_oworld","ln_spot","ln_silagemaize","ln_maize","ln_cassava","cont_africa","cont_asia","cont_europe","cont_oceania","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","ln_rugged","ln_tropical","ln_elevation","ln_disteq","malaria","ln_dist_coast","roman","protestant","attrade","ln_export","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900","wpot_lr_vs_mars","all_lr_vs_mars","ln_wpot_ver2","ln_wpot_ver3","lat","lon"
"AFG","Afghanistan",1850,3750000,0,15.1372671127319,0,63088,2.63905739784241,1,2.63905739784241,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1900,5e+06,166000,15.4249486923218,0.0331999994814396,63088,2.63905739784241,1,2.63905739784241,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AGO","Angola",1000,800000.011920929,0,13.5923681259155,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1100,918958.66394043,0,13.7309970855713,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1200,1055606.36520386,0,13.8696269989014,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1300,1212573.28987122,0,14.0082559585571,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1400,1392880.91659546,0,14.1468858718872,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1500,1600000.02384186,40000,14.285514831543,0.025000000372529,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1600,1700000.04768372,0,14.3461389541626,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,10.7069244384766,0,0,0,0,0,0,1,0,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"AGO","Angola",1700,1800000.07152557,0,14.4032974243164,0,123775,7.68432426452637,0,0,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,12.5616321563721,0,0,0,0,0,0,0,1,0,0,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
