"city","isocode","continent","latitude","longitude","year","ln_city_population","ln_wpot","post","ln_wpot_post","ln_oworld","ln_tropics","ln_elevation","ln_rugged","ydum1000","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ln_wpot_1000","ln_oworld_1000","ln_tropics_1000","ln_rugged_1000","ln_elevation_1000","ln_wpot_1200","ln_oworld_1200","ln_tropics_1200","ln_rugged_1200","ln_elevation_1200","ln_wpot_1300","ln_oworld_1300","ln_tropics_1300","ln_rugged_1300","ln_elevation_1300","ln_wpot_1400","ln_oworld_1400","ln_tropics_1400","ln_rugged_1400","ln_elevation_1400","ln_wpot_1500","ln_oworld_1500","ln_tropics_1500","ln_rugged_1500","ln_elevation_1500","ln_wpot_1600","ln_oworld_1600","ln_tropics_1600","ln_rugged_1600","ln_elevation_1600","ln_wpot_1700","ln_oworld_1700","ln_tropics_1700","ln_rugged_1700","ln_elevation_1700","ln_wpot_1750","ln_oworld_1750","ln_tropics_1750","ln_rugged_1750","ln_elevation_1750","ln_wpot_1800","ln_oworld_1800","ln_tropics_1800","ln_rugged_1800","ln_elevation_1800","ln_wpot_1850","ln_oworld_1850","ln_tropics_1850","ln_rugged_1850","ln_elevation_1850"
"aalborg","DNK","Europe",57.0400009155273,9.92000007629395,1700,8.29404926300049,10.1384391784668,0,0,10.1271781921387,0,4.52127075195312,1.69990074634552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1384391784668,10.1271781921387,0,1.69990074634552,4.52127075195312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalborg","DNK","Europe",57.0400009155273,9.92000007629395,1750,8.29404926300049,10.1384391784668,1,10.1384391784668,10.1271781921387,0,4.52127075195312,1.69990074634552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1384391784668,10.1271781921387,0,1.69990074634552,4.52127075195312,0,0,0,0,0,0,0,0,0,0
"aalborg","DNK","Europe",57.0400009155273,9.92000007629395,1800,8.69951438903809,10.1384391784668,1,10.1384391784668,10.1271781921387,0,4.52127075195312,1.69990074634552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1384391784668,10.1271781921387,0,1.69990074634552,4.52127075195312,0,0,0,0,0
"aalborg","DNK","Europe",57.0400009155273,9.92000007629395,1850,8.98719692230225,10.1384391784668,1,10.1384391784668,10.1271781921387,0,4.52127075195312,1.69990074634552,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1384391784668,10.1271781921387,0,1.69990074634552,4.52127075195312
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1300,8.29404926300049,9.47298908233643,0,0,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1400,8.29404926300049,9.47298908233643,0,0,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1500,8.51719284057617,9.47298908233643,0,0,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1600,8.85366535186768,9.47298908233643,0,0,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1700,8.98719692230225,9.47298908233643,0,0,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1750,8.98719692230225,9.47298908233643,1,9.47298908233643,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1800,9.30565071105957,9.47298908233643,1,9.47298908233643,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485,0,0,0,0,0
"aalst","BEL","Europe",50.7599983215332,4.8600001335144,1850,9.74096870422363,9.47298908233643,1,9.47298908233643,10.0784797668457,0,5.53761529922485,2.15244102478027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47298908233643,10.0784797668457,0,2.15244102478027,5.53761529922485
